epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1335.39,0.1877,1.27005,0.96368,0.99827,0.99704,0.995,0.995,0.19545,0.94171,0.48417,0.000369211,0.000369211,0.000369211
2,2430.39,0.12636,0.60303,0.90822,0.99543,0.99563,0.995,0.995,0.16417,0.5443,0.45559,0.000732223,0.000732223,0.000732223
3,3421.51,0.12254,0.46687,0.90373,0.99683,0.99735,0.995,0.995,0.21964,0.38898,0.51803,0.0010879,0.0010879,0.0010879
4,4310.67,0.11102,0.41734,0.90254,0.99147,0.99367,0.995,0.99486,0.17249,0.38128,0.47174,0.001078,0.001078,0.001078
5,5215.69,0.11264,0.36838,0.9108,0.9997,1,0.995,0.995,0.14517,0.2975,0.42936,0.001067,0.001067,0.001067
6,6087.83,0.09451,0.31911,0.89279,0.99961,1,0.995,0.995,0.15505,0.30911,0.44598,0.00105601,0.00105601,0.00105601
7,6961.2,0.08808,0.29441,0.893,0.99727,0.99921,0.995,0.995,0.12156,0.22564,0.40719,0.00104501,0.00104501,0.00104501
8,7836.07,0.08348,0.28088,0.89128,0.99935,1,0.995,0.995,0.11796,0.16652,0.39246,0.00103401,0.00103401,0.00103401
9,8711.11,0.08623,0.27636,0.90004,0.99978,1,0.995,0.995,0.13619,0.26641,0.42397,0.00102301,0.00102301,0.00102301
10,9584.32,0.07655,0.25507,0.88856,0.99951,1,0.995,0.995,0.12593,0.35654,0.40396,0.00101201,0.00101201,0.00101201
11,10459.4,0.07369,0.25529,0.88751,0.99975,1,0.995,0.995,0.13106,0.21808,0.40962,0.00100101,0.00100101,0.00100101
12,11334.9,0.0697,0.23517,0.89019,0.9998,1,0.995,0.995,0.11999,0.27759,0.40546,0.000990012,0.000990012,0.000990012
13,12215.3,0.06777,0.23633,0.88844,0.9998,1,0.995,0.995,0.11716,0.2727,0.39039,0.000979013,0.000979013,0.000979013
14,13102.3,0.06721,0.236,0.89087,0.99969,1,0.995,0.995,0.11507,0.23633,0.40002,0.000968014,0.000968014,0.000968014
15,13989.8,0.06543,0.22372,0.88727,0.99975,1,0.995,0.995,0.09969,0.25171,0.37572,0.000957015,0.000957015,0.000957015
16,14879.4,0.06451,0.21906,0.88768,0.99978,1,0.995,0.995,0.11597,0.34902,0.39921,0.000946016,0.000946016,0.000946016
17,15762.9,0.06357,0.22925,0.89085,0.99953,1,0.995,0.995,0.11075,0.20785,0.39309,0.000935018,0.000935018,0.000935018
18,16684.7,0.06006,0.21817,0.88513,0.99963,1,0.995,0.995,0.10482,0.22296,0.38805,0.000924019,0.000924019,0.000924019
19,17610.6,0.06515,0.21116,0.89433,0.99979,1,0.995,0.995,0.11249,0.25148,0.39092,0.00091302,0.00091302,0.00091302
20,18640.3,0.05905,0.20898,0.88317,0.99977,1,0.995,0.995,0.11937,0.35167,0.39896,0.000902021,0.000902021,0.000902021
21,19713.5,0.05581,0.19783,0.88345,0.99976,1,0.995,0.995,0.08043,0.22148,0.36016,0.000891022,0.000891022,0.000891022
22,20674.2,0.05527,0.19156,0.8844,0.99301,0.99633,0.995,0.995,0.08229,0.16963,0.35697,0.000880023,0.000880023,0.000880023
23,21605.6,0.0547,0.19085,0.88935,0.9998,1,0.995,0.995,0.09454,0.25973,0.37434,0.000869024,0.000869024,0.000869024
24,22546.4,0.05633,0.18597,0.89199,0.99979,1,0.995,0.995,0.10029,0.17536,0.38212,0.000858025,0.000858025,0.000858025
25,23639.9,0.0535,0.18543,0.88164,0.99977,1,0.995,0.995,0.11677,0.18436,0.39044,0.000847026,0.000847026,0.000847026
26,24574.3,0.05161,0.18232,0.88349,0.99969,1,0.995,0.995,0.11073,0.1693,0.38275,0.000836027,0.000836027,0.000836027
27,25504.5,0.05248,0.18539,0.88719,0.99974,1,0.995,0.995,0.09297,0.18816,0.37117,0.000825029,0.000825029,0.000825029
28,26444.1,0.05253,0.18233,0.88267,0.99983,1,0.995,0.995,0.10667,0.24257,0.38697,0.00081403,0.00081403,0.00081403
29,27384,0.05221,0.18307,0.88467,0.99979,1,0.995,0.995,0.12319,0.32178,0.40164,0.000803031,0.000803031,0.000803031
30,28387.5,0.04994,0.17609,0.88434,0.9997,1,0.995,0.995,0.08637,0.17399,0.36241,0.000792032,0.000792032,0.000792032
31,29400.5,0.04947,0.17304,0.8831,0.99979,1,0.995,0.995,0.06551,0.11446,0.34484,0.000781033,0.000781033,0.000781033
32,30400.1,0.04876,0.16805,0.88313,0.99982,1,0.995,0.995,0.09913,0.14781,0.37436,0.000770034,0.000770034,0.000770034
33,1161.8,0.05783,0.20538,0.88423,0.99938,0.99984,0.995,0.995,0.09806,0.21724,0.3743,0.000759035,0.000759035,0.000759035
34,2503.6,0.04686,0.16838,0.88223,0.99976,1,0.995,0.995,0.08417,0.255,0.35899,0.000748036,0.000748036,0.000748036
35,4120.83,0.04555,0.16324,0.88159,0.99976,1,0.995,0.995,0.08569,0.2943,0.37334,0.000737037,0.000737037,0.000737037
36,5661.02,0.04513,0.17057,0.88407,0.99984,1,0.995,0.995,0.08231,0.19009,0.35538,0.000726038,0.000726038,0.000726038
37,7052.31,0.05144,0.17727,0.89417,0.99987,1,0.995,0.995,0.11732,0.14401,0.39336,0.00071504,0.00071504,0.00071504
38,8561.57,0.04296,0.15468,0.88056,0.99982,1,0.995,0.995,0.08491,0.22291,0.36051,0.000704041,0.000704041,0.000704041
39,9849.96,0.04399,0.1534,0.88254,0.99985,1,0.995,0.995,0.09269,0.1472,0.36439,0.000693042,0.000693042,0.000693042
40,10780.9,0.04299,0.15739,0.88242,0.9998,1,0.995,0.995,0.07978,0.1344,0.35274,0.000682043,0.000682043,0.000682043
41,11930.2,0.05295,0.17821,0.9021,0.99987,1,0.995,0.995,0.07863,0.14039,0.35273,0.000671044,0.000671044,0.000671044
42,12918.4,0.04312,0.15405,0.88123,0.99983,1,0.995,0.995,0.10739,0.1641,0.38508,0.000660045,0.000660045,0.000660045
43,13801.4,0.04241,0.1602,0.88137,0.9998,1,0.995,0.995,0.11068,0.17953,0.39189,0.000649046,0.000649046,0.000649046
44,14726.4,0.04102,0.14509,0.88405,0.99988,1,0.995,0.995,0.10341,0.17391,0.37015,0.000638047,0.000638047,0.000638047
45,15610.4,0.04059,0.14919,0.88265,0.99992,1,0.995,0.995,0.08916,0.14781,0.36256,0.000627048,0.000627048,0.000627048
46,16488.3,0.03998,0.14681,0.88534,0.99987,1,0.995,0.995,0.09351,0.18933,0.37052,0.000616049,0.000616049,0.000616049
47,17382,0.03929,0.14096,0.88154,0.99982,1,0.995,0.995,0.09667,0.21542,0.36957,0.000605051,0.000605051,0.000605051
48,18272.7,0.03995,0.14196,0.88277,0.99988,1,0.995,0.995,0.09797,0.18229,0.37464,0.000594052,0.000594052,0.000594052
49,19163.9,0.03852,0.1516,0.88658,0.99983,1,0.995,0.995,0.09348,0.20555,0.37124,0.000583053,0.000583053,0.000583053
50,20057,0.03638,0.14061,0.88034,0.99981,1,0.995,0.995,0.08233,0.15029,0.35908,0.000572054,0.000572054,0.000572054
51,20941.4,0.03904,0.14366,0.88891,0.99988,1,0.995,0.995,0.08343,0.181,0.35665,0.000561055,0.000561055,0.000561055
52,21824,0.03735,0.14164,0.87881,0.99996,1,0.995,0.995,0.09316,0.25178,0.37231,0.000550056,0.000550056,0.000550056
53,22714.2,0.03624,0.13752,0.88012,0.99984,1,0.995,0.995,0.09169,0.18785,0.36737,0.000539057,0.000539057,0.000539057
54,23599.5,0.03436,0.12904,0.88048,0.99985,1,0.995,0.995,0.09471,0.16691,0.36934,0.000528058,0.000528058,0.000528058
55,24482,0.03499,0.13219,0.8853,0.99979,1,0.995,0.995,0.09816,0.21385,0.37056,0.000517059,0.000517059,0.000517059
56,25389.5,0.03636,0.13025,0.88649,0.99992,1,0.995,0.995,0.09345,0.18517,0.3735,0.00050606,0.00050606,0.00050606
57,26302.6,0.03485,0.12564,0.87845,1,1,0.995,0.995,0.09676,0.17717,0.37054,0.000495062,0.000495062,0.000495062
58,27217.4,0.03369,0.12798,0.87994,0.99983,1,0.995,0.995,0.08893,0.20821,0.36229,0.000484063,0.000484063,0.000484063
59,28145.6,0.03355,0.12312,0.88361,0.99996,1,0.995,0.995,0.09317,0.19939,0.37117,0.000473064,0.000473064,0.000473064
60,29073.9,0.03382,0.12315,0.87928,0.99995,1,0.995,0.995,0.09228,0.17739,0.36953,0.000462065,0.000462065,0.000462065
61,30304.5,0.03384,0.12629,0.88134,0.99996,1,0.995,0.995,0.0829,0.17952,0.36147,0.000451066,0.000451066,0.000451066
62,31247.2,0.03212,0.12051,0.88105,0.99987,1,0.995,0.995,0.0847,0.16882,0.36108,0.000440067,0.000440067,0.000440067
63,32180.3,0.03185,0.12464,0.87996,0.99987,1,0.995,0.995,0.09044,0.17655,0.36998,0.000429068,0.000429068,0.000429068
64,33124.5,0.03207,0.11944,0.88036,0.99988,1,0.995,0.995,0.08637,0.20228,0.36478,0.000418069,0.000418069,0.000418069
65,34071.8,0.0312,0.12493,0.88048,0.99992,1,0.995,0.995,0.09261,0.20357,0.3681,0.00040707,0.00040707,0.00040707
66,35016.8,0.03039,0.12207,0.88371,0.99991,1,0.995,0.995,0.09661,0.20363,0.37283,0.000396071,0.000396071,0.000396071
67,35933.5,0.03124,0.11848,0.87721,0.99987,1,0.995,0.995,0.09028,0.16043,0.36937,0.000385073,0.000385073,0.000385073
68,36833.8,0.02949,0.1175,0.88123,0.99988,1,0.995,0.995,0.08424,0.17804,0.36097,0.000374074,0.000374074,0.000374074
69,37719.8,0.02871,0.1164,0.88036,1,1,0.995,0.995,0.08631,0.17993,0.36302,0.000363075,0.000363075,0.000363075
70,38743.1,0.02929,0.11275,0.87938,0.99991,1,0.995,0.995,0.07829,0.17272,0.35161,0.000352076,0.000352076,0.000352076
71,40210.9,0.02854,0.11282,0.88163,0.99988,1,0.995,0.995,0.08439,0.13539,0.36189,0.000341077,0.000341077,0.000341077
72,41600.4,0.02771,0.11333,0.87902,0.99991,1,0.995,0.995,0.08741,0.23283,0.36449,0.000330078,0.000330078,0.000330078
73,43118.1,0.0281,0.10804,0.87873,1,1,0.995,0.995,0.08961,0.12364,0.36627,0.000319079,0.000319079,0.000319079
74,44330.1,0.0268,0.10803,0.88383,0.99996,1,0.995,0.995,0.09058,0.13553,0.36684,0.00030808,0.00030808,0.00030808
75,45980.1,0.02623,0.10429,0.88086,1,1,0.995,0.995,0.08473,0.12706,0.36149,0.000297081,0.000297081,0.000297081
76,47551.8,0.0256,0.10594,0.88044,0.99992,1,0.995,0.995,0.09044,0.13397,0.36786,0.000286083,0.000286083,0.000286083
77,48918.5,0.02563,0.10809,0.87708,1,1,0.995,0.995,0.0917,0.14199,0.37011,0.000275084,0.000275084,0.000275084
78,50376.3,0.02687,0.10673,0.88363,1,1,0.995,0.995,0.08908,0.14345,0.37147,0.000264085,0.000264085,0.000264085
79,51344.9,0.02547,0.10828,0.88042,1,1,0.995,0.995,0.08774,0.13416,0.36768,0.000253086,0.000253086,0.000253086
80,52358.4,0.02455,0.10253,0.87765,0.99995,1,0.995,0.995,0.08637,0.13899,0.36586,0.000242087,0.000242087,0.000242087
81,53496.1,0.02496,0.10395,0.8796,1,1,0.995,0.995,0.08819,0.13075,0.3664,0.000231088,0.000231088,0.000231088
82,55176.4,0.02481,0.10358,0.88061,0.99996,1,0.995,0.995,0.09005,0.15624,0.3703,0.000220089,0.000220089,0.000220089
83,56492.7,0.02394,0.10032,0.8809,1,1,0.995,0.995,0.09327,0.19231,0.37243,0.00020909,0.00020909,0.00020909
84,57520.4,0.02697,0.11613,0.89218,1,1,0.995,0.995,0.09219,0.17108,0.36903,0.000198091,0.000198091,0.000198091
85,58641.4,0.02302,0.09603,0.87863,0.99992,1,0.995,0.995,0.08228,0.15258,0.35838,0.000187092,0.000187092,0.000187092
86,59759,0.02282,0.09934,0.88048,1,1,0.995,0.995,0.08326,0.17126,0.36235,0.000176094,0.000176094,0.000176094
87,60816.5,0.0219,0.09706,0.88128,1,1,0.995,0.995,0.08045,0.1627,0.35964,0.000165095,0.000165095,0.000165095
88,61749.7,0.02433,0.1008,0.88344,1,1,0.995,0.995,0.08046,0.15555,0.35822,0.000154096,0.000154096,0.000154096
89,62682.1,0.02169,0.09224,0.88124,1,1,0.995,0.995,0.07171,0.20836,0.351,0.000143097,0.000143097,0.000143097
90,63778.7,0.02078,0.09412,0.88106,0.99996,1,0.995,0.995,0.07906,0.2685,0.35749,0.000132098,0.000132098,0.000132098
91,65184.3,0.02407,0.0472,0.88945,0.9998,1,0.995,0.995,0.08773,0.16528,0.36635,0.000121099,0.000121099,0.000121099
92,66709,0.02979,0.03663,0.89263,0.99992,1,0.995,0.995,0.08804,0.15962,0.36883,0.0001101,0.0001101,0.0001101
93,68211.1,0.01793,0.02876,0.87639,0.99988,1,0.995,0.995,0.08735,0.17876,0.36811,9.91012e-05,9.91012e-05,9.91012e-05
94,69697.3,0.01701,0.02559,0.876,0.99992,1,0.995,0.995,0.08893,0.15632,0.36863,8.81023e-05,8.81023e-05,8.81023e-05
95,71210.1,0.01637,0.02469,0.88142,0.99992,1,0.995,0.995,0.08357,0.13436,0.36415,7.71034e-05,7.71034e-05,7.71034e-05
96,72723.2,0.01703,0.02278,0.90101,0.99996,1,0.995,0.995,0.08074,0.13189,0.36108,6.61045e-05,6.61045e-05,6.61045e-05
97,74234.8,0.01386,0.02548,0.88348,0.99996,1,0.995,0.995,0.08166,0.13585,0.36251,5.51056e-05,5.51056e-05,5.51056e-05
98,75622.8,0.01343,0.0203,0.87942,0.99996,1,0.995,0.995,0.08071,0.1423,0.36104,4.41067e-05,4.41067e-05,4.41067e-05
99,77022.2,0.0129,0.02068,0.88192,0.99996,1,0.995,0.995,0.08065,0.15036,0.36152,3.31078e-05,3.31078e-05,3.31078e-05
100,78188.7,0.01227,0.02395,0.87854,0.99996,1,0.995,0.995,0.08073,0.15741,0.36202,2.21089e-05,2.21089e-05,2.21089e-05
